Label,X,Y,Z,HoverText
devil.n.02,0.7088755051666427,-2.7073174113061063,10,devil.n.02: an evil supernatural being
evil_spirit.n.01,-0.8522949084865201,-0.78563075769048,9,evil_spirit.n.01: a spirit tending to cause harm
incubus.n.01,-0.38682714578510424,-0.6216432831247156,11,incubus.n.01: a male demon believed to lie on sleeping persons and to have sexual intercourse with sleeping women
succubus.n.01,3.8287172977122985,-7.882087836584119,11,succubus.n.01: a female demon believed to have sexual intercourse with sleeping men
dybbuk.n.01,-0.2320438154006974,-1.274727499330865,11,dybbuk.n.01: (Jewish folklore) a demon that enters the body of a living person and controls that body's behavior
monster.n.04,-0.24007064847039628,-2.2998825338259428,7,monster.n.04: a cruel wicked and inhuman person
unpleasant_person.n.01,-0.5109914105309312,-1.0825653929376822,6,unpleasant_person.n.01: a person who is not pleasant or agreeable
demoniac.n.01,-1.1880473725922591,-3.025587083965612,8,demoniac.n.01: someone who acts as if possessed by a demon
demon.n.03,-6.339348900263591,-1.3177120067601789,6,demon.n.03: someone extremely diligent or skillful
actor.n.02,-5.737430366977833,-4.138342299706519,5,actor.n.02: a person who acts and gets things done
