Label,X,Y,Z,HoverText
heathen.n.01,0.4672333594235132,5.364676548887845,9,heathen.n.01: a person who does not acknowledge your god
nonreligious_person.n.01,-10.265226762747451,8.813344471372982,8,nonreligious_person.n.01: a person who does not manifest devotion to a deity
paynim.n.01,8.717571488258441,7.97335185319404,10,paynim.n.01: a heathen; a person who is not a Christian (especially a Muslim)
idolater.n.01,8.750551201203525,8.273596422799812,10,idolater.n.01: a person who worships idols
pagan.n.02,8.951076751832414,2.7886079999771205,9,pagan.n.02: a person who follows a polytheistic or pre-Christian religion (not a Christian or Muslim or Jew)
religious_person.n.01,-9.887671328505892,7.822353085539999,8,religious_person.n.01: a person who manifests devotion to a deity
wiccan.n.01,8.354369673455711,7.77513726737272,10,wiccan.n.01: a believer in Wicca
hedonist.n.01,9.014738043124975,8.423515490954477,9,hedonist.n.01: someone motivated by desires for sensual pleasures
sensualist.n.01,-9.74669399390903,8.684134687666152,8,sensualist.n.01: a person who enjoys sensuality
playboy.n.01,7.556223297815896,5.474419467720034,10,playboy.n.01: a man devoted to the pursuit of pleasure
heathen.s.01,6.887316722066716,4.435052775998219,1,heathen.s.01: not acknowledging the God of Christianity and Judaism and Islam
